track_name,track_artist,track_popularity,track_album_name,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_album_release_year,track_album_release_month
Breakthrough,TWICE,65,Breakthrough,Best of 2019 Dance Pop: Japan,pop,dance pop,0.868,0.728,6,-3.338,0,0.11,0.0439,0.0,0.0975,0.616,112.006,217651,2019,6
DOWN BY LAW,THE RAMPAGE from EXILE TRIBE,48,THROW YA FIST,Best of 2019 Dance Pop: Japan,pop,dance pop,0.752,0.924,4,-2.702,0,0.0838,0.0189,0.0,0.0598,0.786,119.996,201733,2019,1
Dream ship,DJ RYOW,36,Dream ship,Best of 2019 Dance Pop: Japan,pop,dance pop,0.72,0.672,7,-5.968,1,0.0546,0.0281,2.05e-06,0.15,0.315,97.033,183093,2019,3
Let Me Love You,FlowBack,24,Let Me Love You,Best of 2019 Dance Pop: Japan,pop,dance pop,0.797,0.895,6,-2.978,1,0.0886,0.309,0.0,0.128,0.671,124.126,204760,2019,6
more,AmPm,45,more,Best of 2019 Dance Pop: Japan,pop,dance pop,0.734,0.714,6,-7.02,1,0.036,0.0134,2.76e-05,0.0751,0.744,120.006,292767,2019,5
"The Lights, The Nights - Strobe Ver.",Unwork,25,"The Lights, The Nights (Strobe Ver.)",Best of 2019 Dance Pop: Japan,pop,dance pop,0.722,0.905,5,-3.993,0,0.0446,0.0256,0.0,0.112,0.511,109.998,226909,2019,4
Sexy my lady,RIKE,26,Sexy my lady,Best of 2019 Dance Pop: Japan,pop,dance pop,0.772,0.849,5,-5.025,1,0.128,0.18,0.0,0.244,0.562,102.974,168118,2019,7
MI NUH FRAID (Extravaganza Riddim),ramhead,22,MI NUH FRAID (Extravaganza Riddim),Best of 2019 Dance Pop: Japan,pop,dance pop,0.818,0.817,8,-3.491,0,0.182,0.0952,0.0,0.06,0.81,106.94,159214,2019,6
WILD,Shuta Sueyoshi,30,WONDER HACK,Best of 2019 Dance Pop: Japan,pop,dance pop,0.621,0.92,6,-6.0,0,0.141,0.000304,0.0,0.228,0.661,149.981,208627,2019,1
Overflow(変身),YonYon,34,Overflow(変身),Best of 2019 Dance Pop: Japan,pop,dance pop,0.917,0.6,6,-5.362,1,0.0483,0.296,0.00159,0.0469,0.659,120.001,240988,2019,3
Woman We Are,Dream Shizuka,26,4 FEELS.,Best of 2019 Dance Pop: Japan,pop,dance pop,0.696,0.889,1,-2.716,1,0.035,0.0187,0.0,0.35,0.586,144.06,195558,2019,5
Kill This Love,BLACKPINK,58,KILL THIS LOVE,Best of 2019 Dance Pop: Japan,pop,dance pop,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189040,2019,4
Free! Free! Free!,竹内アンナ,37,at TWO,Best of 2019 Dance Pop: Japan,pop,dance pop,0.721,0.861,4,-4.87,0,0.0847,0.151,0.0,0.118,0.64,132.065,231933,2019,1
Days Gone By,ANIMAL HACK,37,Days Gone By,Best of 2019 Dance Pop: Japan,pop,dance pop,0.382,0.872,9,-4.185,0,0.215,0.0278,3.17e-06,0.129,0.399,70.944,197400,2019,1
Bags,Clairo,70,Immunity,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,260520,2019,8
Alaska,Maggie Rogers,69,Heard It In A Past Life,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.847,0.386,9,-10.668,0,0.0507,0.411,0.00176,0.108,0.178,104.001,188000,2019,1
All My Happiness is Gone,Purple Mountains,57,Purple Mountains,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.505,0.746,7,-7.793,1,0.0271,0.00165,0.0463,0.266,0.724,138.126,260280,2019,7
Only Child,Tierra Whack,67,Only Child,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-06,0.186,0.802,85.244,239324,2019,2
Not,Big Thief,62,Two Hands,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.422,0.788,11,-6.57,1,0.0556,0.101,0.00282,0.16,0.544,140.423,367093,2019,10
Lucky,Choker,63,Forever & A Few,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.477,0.328,4,-8.458,1,0.0658,0.906,7.36e-06,0.262,0.283,174.143,251034,2019,2
The Victory - Reloaded,Deborah Dworshipper,46,The Victory (Reloaded),TUNES DANCE AND POP,pop,dance pop,0.686,0.629,4,-6.485,0,0.0423,0.209,0.0,0.121,0.484,119.952,237400,2019,12
Finally // beautiful stranger,Halsey,79,Finally // beautiful stranger,TUNES DANCE AND POP,pop,dance pop,0.626,0.55,9,-5.105,0,0.029,0.051,0.0,0.118,0.123,133.976,221096,2019,12
One Thing Right - Koni Remix,Marshmello,46,One Thing Right (Remixes Pt. 2),TUNES DANCE AND POP,pop,dance pop,0.646,0.792,1,-5.679,0,0.0661,0.0108,0.0,0.587,0.37,105.052,148986,2019,12
Lines,Keo Nozari,23,Headspace,TUNES DANCE AND POP,pop,dance pop,0.701,0.728,7,-7.152,1,0.0722,0.0753,0.0,0.377,0.479,106.98,233398,2019,6
Summer of Love,Lou Ella,29,Summer of Love,TUNES DANCE AND POP,pop,dance pop,0.664,0.231,9,-12.696,0,0.0372,0.866,1.62e-05,0.0998,0.127,89.959,242048,2019,3
Berlin,Tom Goss,37,Territories,TUNES DANCE AND POP,pop,dance pop,0.647,0.325,0,-13.512,1,0.0278,0.409,0.000498,0.126,0.0961,138.007,241853,2019,11
Dreams,Keo Nozari,27,Headspace,TUNES DANCE AND POP,pop,dance pop,0.397,0.694,8,-9.638,1,0.331,0.0476,0.0,0.746,0.576,87.576,237255,2019,6
Help,Saint Mars,42,Help,TUNES DANCE AND POP,pop,dance pop,0.478,0.672,4,-5.802,0,0.0589,0.000399,0.0,0.0921,0.72,112.988,185792,2019,11
Where Are You,Adil C,39,Where Are You,TUNES DANCE AND POP,pop,dance pop,0.545,0.626,5,-7.792,0,0.0377,0.235,0.000504,0.0974,0.571,92.021,165921,2019,4
Closure,Nick Hames,38,Closure,TUNES DANCE AND POP,pop,dance pop,0.721,0.345,5,-9.805,0,0.031,0.0905,0.000313,0.149,0.254,125.958,208457,2019,11
Okay.,Bailey Crego,29,Dangerous,TUNES DANCE AND POP,pop,dance pop,0.654,0.601,2,-6.474,1,0.0234,0.029,0.0,0.209,0.708,99.953,199800,2019,8
Adore You,Harry Styles,91,Adore You,TUNES DANCE AND POP,pop,dance pop,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,2019,12
Never Enough,Blair Woods,27,Never Enough,TUNES DANCE AND POP,pop,dance pop,0.596,0.681,5,-7.321,0,0.0597,0.0978,0.000236,0.103,0.393,99.961,195683,2019,12
I Feel Love,Sam Smith,78,I Feel Love,TUNES DANCE AND POP,pop,dance pop,0.719,0.708,0,-7.418,1,0.0417,0.00645,0.201,0.064,0.256,126.015,254453,2019,11
Down,Melissa Crispo,21,The 5th Stage,TUNES DANCE AND POP,pop,dance pop,0.737,0.434,10,-10.363,0,0.0416,0.39,3.12e-06,0.126,0.216,92.794,252684,2019,3
Alone Tonight,Maxwell Luke,36,Alone Tonight,TUNES DANCE AND POP,pop,dance pop,0.621,0.606,6,-8.412,1,0.0452,0.107,0.0,0.116,0.242,106.905,188788,2019,12
Like It or Not,Ksenia,39,Like It or Not,TUNES DANCE AND POP,pop,dance pop,0.762,0.525,11,-7.066,1,0.13,0.0374,0.000168,0.0944,0.632,166.021,179277,2019,12
Special,Kevlah,38,Special,TUNES DANCE AND POP,pop,dance pop,0.595,0.502,10,-13.756,1,0.131,0.347,0.0,0.121,0.288,154.926,191000,2019,11
Gone From Here - Original Mix,Maml,28,Gone From Here,TUNES DANCE AND POP,pop,dance pop,0.675,0.693,8,-7.351,0,0.0613,0.0989,0.0134,0.0816,0.374,109.976,267136,2019,12
HITHER,Downlowd,33,HITHER,TUNES DANCE AND POP,pop,dance pop,0.793,0.749,1,-6.948,1,0.0564,0.00219,0.845,0.0945,0.164,137.019,252263,2019,12
I've Changed,Asher Knight,42,I've Changed,TUNES DANCE AND POP,pop,dance pop,0.657,0.73,8,-6.294,1,0.0633,0.118,4.21e-06,0.152,0.249,92.883,215448,2019,10
If I Loved You,Royse,38,If I Loved You,TUNES DANCE AND POP,pop,dance pop,0.663,0.829,11,-3.222,1,0.0458,0.477,0.0,0.157,0.425,115.07,214437,2019,5
Nobody Else - Radio Edit,Scriss,24,Nobody Else,TUNES DANCE AND POP,pop,dance pop,0.615,0.726,0,-7.128,0,0.0321,0.456,3.11e-05,0.104,0.53,123.998,212056,2019,12
Heart Beats Fast. (Xander Milne Remix),Eivind Husebø,27,Heart Beats Fast. (Xander Milne Remix),TUNES DANCE AND POP,pop,dance pop,0.691,0.66,10,-8.007,0,0.0772,0.000117,0.446,0.0506,0.393,120.009,286000,2019,7
Maillot de bain,Modhayan,38,Biarritz,TUNES DANCE AND POP,pop,dance pop,0.687,0.449,7,-15.161,1,0.0852,0.675,0.909,0.0643,0.91,92.03,215410,2019,8
Knowing,Davina Leone,13,Knowing,TUNES DANCE AND POP,pop,dance pop,0.37,0.196,1,-15.067,1,0.0296,0.915,0.000116,0.147,0.215,35.477,61385,2019,11
Fantasy,TYFI,43,Fantasy,TUNES DANCE AND POP,pop,dance pop,0.669,0.761,6,-5.159,1,0.0514,0.354,0.000134,0.351,0.702,119.975,188875,2019,11
Swish,Josh Stanley,49,Swish,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.646,0.412,4,-10.929,0,0.111,0.145,0.0,0.111,0.276,161.878,121482,2019,10
Thraa,Doje,42,Thraa,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.889,0.55,8,-8.147,0,0.104,0.319,2.77e-05,0.104,0.527,140.008,194715,2019,11
Yellow Hearts,Ant Saunders,89,Yellow Hearts,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.865,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.038,223258,2019,6
Sass Cafe,Josh Stanley,41,Sass Cafe,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.799,0.616,1,-9.501,1,0.262,0.343,4.15e-05,0.14,0.356,95.055,160800,2019,6
Cry for Me,Camila Cabello,73,Cry for Me,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.721,0.805,9,-4.134,0,0.0927,0.05,0.0,0.153,0.653,118.058,189133,2019,10
Rich Boy,Josh Stanley,34,Rich Boy,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.836,0.47,9,-11.828,0,0.211,0.527,0.000131,0.0963,0.317,110.014,170400,2019,7
Sunday Best,Surfaces,81,Where the Light Is,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,2019,1
Beyond the Sky,ØMG,43,Beyond the Sky,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.774,0.828,5,-1.869,0,0.198,0.719,1.65e-06,0.122,0.583,125.299,155520,2019,12
Tus Juegos,Pochin Mirkin,42,Tus Juegos,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.839,0.848,11,-4.954,1,0.0314,0.229,1.28e-05,0.0611,0.808,109.985,181156,2019,12
Liar,Camila Cabello,87,Liar,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,2019,9
Nothing,Paul Butcher,40,Nothing,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.71,0.636,10,-4.161,0,0.0397,0.0278,0.0,0.126,0.505,125.865,182426,2019,11
Still Don't Know My Name,Labrinth,75,Euphoria (Original Score from the HBO Series),Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.314,0.63,5,-5.963,1,0.116,0.471,0.266,0.205,0.312,88.244,153294,2019,10
On & On - Mixed,MØ,53,Walshy Fire Presents: MMMMØ - The Mix,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.648,0.647,5,-9.842,0,0.116,0.135,0.0,0.8,0.895,88.988,210559,2019,11
Find U Again (feat. Camila Cabello),Mark Ronson,74,Find U Again (feat. Camila Cabello),Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,176417,2019,5
Lost,Chris Linton,44,Lost,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.58,0.438,9,-7.696,0,0.028,0.738,1.04e-06,0.189,0.225,93.003,196129,2019,12
Kill My Mind,Louis Tomlinson,66,Kill My Mind,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,0.515,0.873,10,-3.062,1,0.0389,0.00104,0.0,0.104,0.434,134.042,220930,2019,9
Good Thing (with Kehlani),Zedd,82,Good Thing (with Kehlani),ELETRIC POP & DANCE,pop,dance pop,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901,2019,9
God Is A Dancer,Tiësto,45,God Is A Dancer (Acoustic),ELETRIC POP & DANCE,pop,dance pop,0.774,0.747,1,-3.908,0,0.082,0.0241,6.11e-06,0.342,0.833,119.964,168125,2019,10
Supalonely,BENEE,67,STELLA & STEVE,ELETRIC POP & DANCE,pop,dance pop,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480,2019,11
Breathe,Herb Barclay,13,Breathe,ELETRIC POP & DANCE,pop,dance pop,0.601,0.77,1,-10.105,0,0.0602,0.0683,0.000659,0.0566,0.175,127.964,235900,2019,4
Sad (feat. Afrojack) - SLVR Remix,Chico Rose,49,Sad (feat. Afrojack) [SLVR Remix],ELETRIC POP & DANCE,pop,dance pop,0.651,0.925,1,-3.382,1,0.0666,0.0232,0.0134,0.0567,0.52,127.994,163125,2019,11
Mamma Mia,Tokyo Tav,17,Mamma Mia,ELETRIC POP & DANCE,pop,dance pop,0.691,0.939,9,-4.06,0,0.279,0.0202,1.08e-05,0.558,0.794,124.753,172810,2019,11
Coke & Henny Pt. 2,Pink Sweat$,6,Volume 2,ELETRIC POP & DANCE,pop,dance pop,0.806,0.289,1,-9.853,0,0.0389,0.609,0.0,0.105,0.457,89.958,157334,2019,3
Without No Fear,Urchin,21,Without No Fear,ELETRIC POP & DANCE,pop,dance pop,0.649,0.831,5,-6.556,0,0.0702,0.0443,0.383,0.0712,0.363,126.982,287581,2019,12
Don't Start Now,Dua Lipa,97,Don't Start Now,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,2019,10
HIGHEST IN THE ROOM,Travis Scott,94,HIGHEST IN THE ROOM,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,2019,10
hot girl bummer,blackbear,94,hot girl bummer,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,2019,8
Follow God,Kanye West,85,JESUS IS KING,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,2019,10
"10,000 Hours (with Justin Bieber)",Dan + Shay,91,"10,000 Hours (with Justin Bieber)",Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,2019,10
Beautiful People (feat. Khalid),Ed Sheeran,85,No.6 Collaborations Project,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,2019,7
ROXANNE,Arizona Zervas,71,ROXANNE,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,2019,10
Look At Her Now,Selena Gomez,86,Look At Her Now,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,2019,10
How Do You Sleep?,Sam Smith,91,How Do You Sleep?,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,2019,7
Lights Up,Harry Styles,74,Lights Up,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,2019,10
Trampoline (with ZAYN),SHAED,90,Trampoline (with ZAYN),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,184280,2019,9
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,91,No.6 Collaborations Project,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467,2019,7
Goodbyes (Feat. Young Thug),Post Malone,51,Goodbyes (Feat. Young Thug),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,174960,2019,7
I Don't Care (with Justin Bieber),Ed Sheeran,84,No.6 Collaborations Project,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,2019,7
Lalala,Y2K,91,Lalala,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,2019,6
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,Hollywood's Bleeding,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,2019,9
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,86,Hot (Remix) [feat. Gunna and Travis Scott],Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983,279907,2019,11
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,89,Good as Hell (feat. Ariana Grande) [Remix],Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011,2019,10
Ransom,Lil Tecca,90,We Love You Tecca,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,2019,8
It's You,Ali Gatie,68,It's You,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,2019,6
Graveyard,Halsey,87,Graveyard,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,2019,9
Callaita,Bad Bunny,90,Callaita,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,2019,5
Panini,Lil Nas X,79,Panini,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,2019,9
Bad To You (with Normani & Nicki Minaj),Ariana Grande,76,Charlie's Angels (Original Motion Picture Soundtrack),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.727,0.583,7,-7.385,0,0.0718,0.065,0.0,0.106,0.629,147.983,171840,2019,11
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,87,Hollywood's Bleeding,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573,2019,9
No Me Conoce - Remix,Jhay Cortez,86,Famouz,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120,2019,5
Fantasias,Rauw Alejandro,92,Fantasias,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,199711,2019,8
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,88,Carte Blanche,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195,2019,7
223's (feat. 9lokknine),YNW Melly,85,223's (feat. 9lokknine),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640,2019,8
Stuck In A Dream (feat. Gunna),Lil Mosey,64,Stuck In A Dream (feat. Gunna),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.753,0.652,10,-5.943,0,0.0753,0.444,0.0,0.117,0.745,139.962,123560,2019,9
Si Te Vas,Sech,88,Si Te Vas,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.732,0.644,0,-4.124,1,0.132,0.0934,4.54e-06,0.143,0.554,174.1,204907,2019,9
Old Town Road - Remix,Lil Nas X,90,7 EP,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,2019,6
"Yo x Ti, Tu x Mi",ROSALÍA,88,"Yo x Ti, Tu x Mi",Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,201040,2019,8
Trigger,Major Lazer,80,Trigger,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.57,0.585,8,-7.041,1,0.251,0.128,9.7e-05,0.111,0.378,97.285,171987,2019,10
Make It Right (feat. Lauv),BTS,83,Make It Right (feat. Lauv),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321,2019,10
Lonely (with Jonas Brothers),Diplo,80,Lonely,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.738,0.717,1,-5.121,1,0.0573,0.062,0.0,0.205,0.5,98.047,139813,2019,9
Easy,Camila Cabello,78,Easy,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.574,0.593,4,-5.731,0,0.0463,0.411,1.55e-06,0.0966,0.355,128.073,194686,2019,10
Harleys In Hawaii,Katy Perry,78,Harleys In Hawaii,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.722,0.757,10,-6.207,0,0.132,0.185,6.32e-06,0.126,0.721,140.094,185815,2019,10
Feelings,Lauv,81,Feelings,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.694,0.466,9,-6.758,1,0.0384,0.0934,0.0,0.098,0.246,103.018,189613,2019,9
Bruises,Lewis Capaldi,86,Divinely Uninspired To A Hellish Extent,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492,2019,5
July,Noah Cyrus,88,July,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,156107,2019,7
Heartless (feat. Morgan Wallen),Diplo,82,Heartless (feat. Morgan Wallen),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.004,169227,2019,8
I.F.L.Y.,Bazzi,33,I.F.L.Y.,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,165714,2019,7
Orphans,Coldplay,78,Orphans / Arabesque,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.503,0.808,11,-5.051,0,0.045,0.0254,0.00162,0.557,0.283,107.975,197533,2019,10
What Am I,Why Don't We,79,What Am I,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.614,0.647,0,-4.681,0,0.0524,0.0687,0.0,0.104,0.368,163.862,184665,2019,8
Teeth,5 Seconds of Summer,80,Teeth,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.755,0.448,3,-2.993,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,204887,2019,8
Outnumbered,Dermot Kennedy,80,Outnumbered,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,0.258,156.85,245700,2019,6
Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,80,Over It,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.459,115.918,143227,2019,10
Piece Of Your Heart,MEDUZA,30,Piece Of Your Heart,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,2019,2
Obsessed,Dynoro,69,Obsessed,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.582,0.826,11,-4.599,0,0.0612,0.0614,2.7e-06,0.108,0.201,117.948,209933,2019,3
Bones (feat. OneRepublic),Galantis,77,Bones (feat. OneRepublic),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.658,0.804,0,-5.735,1,0.0377,0.00463,0.0,0.178,0.508,120.047,205793,2019,1
One Touch (with ‪Jess Glynne),Jess Glynne,16,Snacks (Supersize),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.69,0.757,0,-5.16,0,0.244,0.533,0.0,0.202,0.581,124.273,197747,2019,9
